"ECTRL ID","ADEP","ADEP Latitude","ADEP Longitude","ADES","ADES Latitude","ADES Longitude","FILED OFF BLOCK TIME","FILED ARRIVAL TIME","ACTUAL OFF BLOCK TIME","ACTUAL ARRIVAL TIME","AC Type","AC Operator","AC Registration","ICAO Flight Type","STATFOR Market Segment","Requested FL","Actual Distance Flown (nm)"
184409764,"LFPG",49.00972,2.54778,"LEMG",36.675,-4.49917,"01-03-2015 05:55:00","01-03-2015 08:18:23","01-03-2015 05:51:00","01-03-2015 08:11:21","A319","EZY","GEZDW","S","Lowcost",370,856
184410592,"LFPG",49.00972,2.54778,"LEBL",41.29694,2.07833,"01-03-2015 06:40:00","01-03-2015 08:09:32","01-03-2015 06:41:00","01-03-2015 08:12:17","A321","AFR","FGTAS","S","Traditional Scheduled",330,502
